label,text
1,@岳屾山 #3人伪造老干妈印章与腾讯签合同##V光计划# 【老干妈要给腾讯付钱不】这个事要分两个层面来讲，一个是刑事层面，一个是民事层面。在刑事层面比较简单，犯罪嫌疑人使用伪造的印章订立合同以达到骗钱钱财的目的，涉嫌构成诈骗罪或合同诈骗罪。在本案中，伪造印章是手段行为，属于牵连犯，择一重罪处理即可。一般会认定为诈骗罪或合同诈骗罪。民事层面，要看是否构成表见代理，这也是腾讯能否让老干妈付款的关键。表见代理说的没有代理权却实施了代理行为，而善意的相对人有理由相信表见代理人有代理权，此时，法律后果由被代理人承担
0,@Vista看天下 【警方通报：#3人伪造老干妈印章与腾讯签合同#，已被刑拘】据贵阳警方，3人伪造老干妈印章与腾讯签订合同，已被刑拘。此前，腾讯状告老干妈欠广告费，老干妈称腾讯遭遇诈骗。 ??
1,@乘风破浪的姐姐 【#乘风破浪的姐姐#成团之夜】开场秀《无价之姐》万众期待我们的主题曲创意总监@李宇春 带着全新的#无价之姐#来了，律动的舞步和洗脑的旋律依旧让人心潮澎湃，30个姐姐重回“乘风破浪”的舞台，在歌声的映衬下，一起舞起来，仿佛把人拉回到了这个夏天的开端~  http://t.cn/A64fIfy7 ??
1,@TFBOYS-王俊凯 #英雄联盟9周年#因为热爱，所以联盟！未来，和所有召唤师，战在一起！（回来复盘了一下，操作问题不大，就是狠话没放好，早知道就邀首歌）@英雄联盟 ??
1, 
1, 
0, 
0,@国国检察官 #司机为救婴儿连闯红灯家属拒绝作证##v光新星#            【你不仁，我也要讲道义】    司机为救婴儿连闯红灯家属却拒绝作证，让人心寒，事后采访司机，司机说不后悔，为司机点赞！[good][good][good]     法律规定，凡是知道案情的人都有作证的义务，本案中作为受益方却选择了冷漠，不履行自己应有的义务，这也是由于虽然法律规定了作证义务，但是对于违反的后果却没细化，违反成本比较低，因此才会有人选择不理不睬！     咱们得懂得知恩图报，应该有起码的良知，虽然有监控等客
0,@NBA #NBA总决赛#【湖人球员拥抱庆祝】第十七冠终到来！终场哨音响起的一瞬间，湖人球员纷纷冲进场内拥抱庆祝！在这个跌宕起伏的赛季，经历一波三折的旅程，湖人终于再次夺下总冠军！#NBA花絮# #湖人总冠军#  http://t.cn/A6baV9bM ??
1, 
1,@邢昭林 十年了！终于！！恭喜！！#湖人总冠军# ??
1,@TFBOYS-王俊凯 #英雄联盟9周年#因为热爱，所以联盟！未来，和所有召唤师，战在一起！（回来复盘了一下，操作问题不大，就是狠话没放好，早知道就邀首歌）@英雄联盟 ??
0, 
0, 
0,@天猫发言人 4982亿！感谢大家的参与。关?转，揪1人，你今年双11的所有订单，我买单！上限49999元！#天猫双十一成交总额4982亿# ??
1,@TFBOYS-王俊凯 #英雄联盟9周年#因为热爱，所以联盟！未来，和所有召唤师，战在一起！（回来复盘了一下，操作问题不大，就是狠话没放好，早知道就邀首歌）@英雄联盟 ??
0,@胜利主义章北海 #没有假期的日日夜夜# 暴躁元首，被迫营业夭寿啦，万亿市值的腾讯被一个萝卜章给骗了，损失上千万。大佬怒了。#视频潜力新星##3人伪造老干妈印章与腾讯签合同# http://t.cn/A6yhd4KL ??
0,@平安东莞 【广东网约车司机闯红灯送患儿事件现“乌龙”，当事乘客出面回应】12月8日，东莞网约车司机艾先生车上的一名婴儿突发疾病，艾先生连闯三个红灯紧急救人，事后联系乘客望作证以撤销罚单时，“乘客”却称“跟我没关系”。舆论被引爆，乘客被指“冷血”。12月14日晚，当事乘客桂先生报警，称自己是网络视频中的当事人，可他却并没有接到任何网约车司机寻求帮助的电话和信息，警方随即介入调查。经过警方调查，12月8日当天，艾先生将乘客送到医院后，乘客立即将孩子送医治疗，未留下任何联系方式，艾先生因处理违章的需要，只能通
1, 
1, 
0,@头条新闻 【贵阳警方：#3人伪造老干妈印章与腾讯签合同# 被刑拘】日前，腾讯状告老干妈欠广告费，老干妈称腾讯遭遇诈骗。7月1日，贵阳公安双龙分局通报，3人伪造老干妈公司印章，冒充该公司市场经营部经理与腾讯签订合作协议，目前3人已被刑拘。 ??
0,@天猫发言人 4982亿！感谢大家的参与。关?转，揪1人，你今年双11的所有订单，我买单！上限49999元！#天猫双十一成交总额4982亿# ??
0, 
1, 
1, 
1,@TFBOYS-王俊凯 #英雄联盟9周年#因为热爱，所以联盟！未来，和所有召唤师，战在一起！（回来复盘了一下，操作问题不大，就是狠话没放好，早知道就邀首歌）@英雄联盟 ??
0,@旅行多琪 #李佳琦所售美容仪被市场监管报点名# 电商直播要做到表率，更应该对选品严加把控，期待真诚的解决方案，让消费者满意 #李佳琦所售美容仪再遭投诉虚假宣传# ??
0,@全球体育速报 【#湖人飞抵洛杉矶# ！】湖人队的包机已从奥兰多飞抵洛杉矶，大批球迷前来接机！其中浓眉还表示：“我们马上会再来一年的（We’re gonna run it right back）”手握冠军奖杯的老詹，难耐激动的麦基… 再次恭喜湖人队时隔10年，重新捧起总冠军奖杯！http://t.cn/A6bo26M7 ??
0,@新浪财经 #上海首个停用丰巢小区自建快递架#【上海首个停用丰巢的小区重启快递柜后，启用自建快递驿站】5月19日，上海首个停用丰巢快递柜的小区中环花苑通过公众号发布了一篇题为“自建快递驿站启用的通知”。该通知称，根据上海市消保委建议本市居民小区设立免费的公共快递架，业委会和物业公司开设“中环花苑快递驿站”，作为丰巢快递柜和菜鸟驿站的补充。小区自建快递柜将于2020年5月20日起试运行，每天7:00-21:00不限时间免费代管，专人看管。http://t.cn/A62ZLxXC
0,@新浪科技 【#腾讯中午的辣椒酱突然不香了#】#3人伪造老干妈印章与腾讯签合同#消息一出，官方认证的#腾讯B站账号#发布动态称“中午的辣椒酱突然不香了”，网友：加点老干妈[doge]。#警方确认3人伪造老干妈印章与腾讯签合同#http://t.cn/A6yhbN3r ??
1,@时代少年团-刘耀文 #湖人总冠军#老詹永远滴神！！！湖人总冠军??#爱豆V力量#?#拍一张名叫快乐的照片# ??
0,@天猫发言人 4982亿！感谢大家的参与。关?转，揪1人，你今年双11的所有订单，我买单！上限49999元！#天猫双十一成交总额4982亿# ??
1, 
1,@洛杉矶湖人 恭喜我们的总决赛MVP！?????????????????????? ?????????????????????? ?????????????????????? ?????????????????????? ??????勒布朗·詹姆斯?????? ???????????????????????????????????????????? ?????????????????????? #湖人总冠军# #詹姆斯FMVP#
1,@卡布叻_周深 啊啊啊啊啊啊啊 我终于排上号了！！啊啊啊啊啊啊啊 翻山越岭赶来啦！！@万茜 @张雨绮 俗话说“不打不相识”??♂?三分钟已经过了，您们现在知道我的全部信息了吧！先行一步！现场为茜茜姐、小雨姐、李斯团的姐姐们加油打气！！永远美丽闪亮 slay全场！姐姐们乘风破浪！！勇往直前！！ http://t.cn/A64f58m6
0,@微博综艺 #无价之姐全民乘风破浪短片##无价之姐乘风破浪版短片# #乘风破浪的2020# 由@李宇春 担任主题曲创意总监并作词、演唱的《无价之姐》在今年缔造了破圈神话。截止今日，无价之姐共登上相关热搜及热门话题110+次，相关话题阅读量124亿+，相关内容讨论量400w+！高原武警战士、医生、女警、女排队员、游泳队员等各行各业等人共同起舞，这也与《无价之姐》想要传递的积极向上、忠于自我的价值观不谋而合。本周《乘风破浪的姐姐》即将迎来成团之夜，作为主题曲创意总监的李宇春是否会出现在现场呢？许愿一个春春《无
0,@福布斯中文网 【#丰巢在上海延长一个月免费使用期#，首个停用小区率先试点】上海首个停用丰巢快递柜小区与丰巢针对超时收费一事协商有了进展。15日下午，上海中环花苑小区业委会主任何剑表示，当天上午11时，丰巢上海地区负责人和小区相关工作人员开了闭门会议。丰巢上海地区负责人表示，将先在上海地区延长一个月的免费使用期限，先在中环花苑试点，从明日开始，并要求快递公司在派件前电话通知收件人。但该负责人也坦言，调整市场要全国统一。这也意味着，一个月后是否还将继续延长免费使用期或者调整收费细节，还有待观望。http:/
0,@微博篮球 【转发抽湖人队帽衫】#为湖人夺冠换头像# ?湖！人！总！冠！军！?让我们一起更换微博头像！?庆祝湖人夺冠！致敬科比！?Kobe！This is for you！?快换上下方的头像吧！转发本博+更换头像，抽1位获得湖人队限定帽衫！  #湖人总冠军# ??
0,@游研社 腾讯官方发了这么个视频……#3人伪造老干妈印章与腾讯签合同#  http://t.cn/A6y7vg3c ??
1,@TFBOYS-王俊凯 #英雄联盟9周年#因为热爱，所以联盟！未来，和所有召唤师，战在一起！（回来复盘了一下，操作问题不大，就是狠话没放好，早知道就邀首歌）@英雄联盟 ??
1, 
1,@TFBOYS-王俊凯 #英雄联盟9周年#因为热爱，所以联盟！未来，和所有召唤师，战在一起！（回来复盘了一下，操作问题不大，就是狠话没放好，早知道就邀首歌）@英雄联盟 ??
0,@哈尔滨纳泓生物科技有限公司 千方百计用亲子鉴定为前女友孩子找爹，会怎么样？#我要上热门# #亲子鉴定# #湖人总冠军# #情感语录#  http://t.cn/A6bon06e ??
0,@头条新闻 【贵阳警方：#3人伪造老干妈印章与腾讯签合同# 被刑拘】日前，腾讯状告老干妈欠广告费，老干妈称腾讯遭遇诈骗。7月1日，贵阳公安双龙分局通报，3人伪造老干妈公司印章，冒充该公司市场经营部经理与腾讯签订合作协议，目前3人已被刑拘。 ??
0,@安东尼戴维斯资讯 所有情绪都在这个视频里  #湖人总冠军# #洛杉矶湖人# #安东尼戴维斯# http://t.cn/A6b9LD7m ??
1,@乘风破浪的姐姐 原创音乐制作人、公演舞台《情人》原唱惊喜亮相[打call]@蔡徐坤 一起乘风破浪吗？成团夜见证官的那种！#乘风破浪的姐姐#成团之夜http://t.cn/A64toeah 20:00湖南娱乐频道&芒果TV现场同步直播！ ??
0,@天猫发言人 4982亿！感谢大家的参与。关?转，揪1人，你今年双11的所有订单，我买单！上限49999元！#天猫双十一成交总额4982亿# ??
0,@蜀黍家 完整总结腾讯和老干妈这波惊天大瓜[doge]1.媒体报道老干妈拖欠腾讯千万广告费，被腾讯诉至法院。2.腾讯真的很努力很努力帮老干妈打了大半年广告3.老干妈方面初步回应：没找腾讯打广告，腾讯被骗了。4.已经两年没更新的老干妈公号连夜出公告：没和腾讯合作，已经报警了。5.第二天，贵阳警方出公告：三人伪造印章冒充老干妈经理，与腾讯签合同倒卖游戏码获利，已被刑拘。6.腾讯：辣椒酱突然不香了。[悲伤]7.支付宝：愿天下无假章。[阴险]8.老干妈：什么都没干，一分钱都没花，被骗子帮打了腾讯价值千万的广告，今
1,@速达现场 【#天猫双十一总交易额4982亿元#，同比增长26%】2020年天猫双11，从11月1日到11月11日的成交额为4982亿元。按照同周期、同口径比较，今年双11期间的GMV比去年同期增长了1032亿，增速是26%，是过去三年以来的最高增速。#双十一快递量接近2010年全年#  http://t.cn/A6GaiuCn ??
0,@速回收 腾讯鹅子今天中午的辣椒酱不香了！员工送1000瓶老干妈征集线索！咱速回收同是深圳南山的公司！@腾讯公司 支持大厂征集线索，希望天下无假章！#3人伪造老干妈印章与腾讯签合同##腾讯千瓶老干妈求骗子线索# 转发?关注@速回收 送出1000瓶老干妈！7月7号开！ @微博抽奖平台 @_曾小东 冲啊啊啊！ ? http://t.cn/A6y74eOs
0,@乘风破浪的姐姐 原创音乐制作人、公演舞台《情人》原唱惊喜亮相[打call]@蔡徐坤 一起乘风破浪吗？成团夜见证官的那种！#乘风破浪的姐姐#成团之夜http://t.cn/A64toeah 20:00湖南娱乐频道&芒果TV现场同步直播！ ??
1, 
0,@新浪综艺 #蔡徐坤成团夜见证官##姐姐成团之夜嘉宾阵容# 原创音乐制作人、公演舞台《情人》原唱@蔡徐坤 将以成团夜见证官身份助阵《乘风破浪的姐姐》成团之夜！ ??
0,@天猫发言人 4982亿！感谢大家的参与。关?转，揪1人，你今年双11的所有订单，我买单！上限49999元！#天猫双十一成交总额4982亿# ??
0,@新浪电影 电影《一点就到家》邀请《脱口秀大会》的冠军王勉带来短片《咸鱼》，唱给996、熬夜加班的人们，“我是一条被前浪后浪，拍在沙滩上的咸鱼”。刘昊然、彭昱畅、尹昉也在视频最后喊话“咸鱼”。#节前最后一天划水的你#此刻在划什么水？《一点就到家》将于#十一黄金档#10月4日上映。http://t.cn/A6bZgjFF ??
1, 
0,@中国警方在线 【#司机为救婴儿连闯红灯家属拒绝作证# 】#平安法治2020#广东东莞的网约车司机艾先生近日接到一张订单，乘客为一家三口带着一个婴儿，上车不久婴儿突发疾病失去知觉。艾先生连闯三个红灯将孩子送医，为此，他要面临被扣18分，并处以600元的罚款。交警表示需提供相关的医院证明，但婴儿家属却拒绝作证，称闯红灯跟他没关系。最终警方表示会通过监控视频和医院的记录来证实艾先生所说。艾先生也表示，虽然他无法理解患者家属的态度，但是并不后悔这么做。小调查：如果是你遇到这种情况，你会为司机作证吗？ http:
0,@蓝鲸财经记者工作平台 【#上海众小区联合抵制丰巢收费#，#丰巢称全国性措施暂不会改#】近日，丰巢推行会员制收费取件引发关注，与外地单个小区直接暂停使用的强硬做法不同，目前上海多个小区的业委会发起了讨论，梳理出了具体诉求后，试图通过小区联盟的方式一起与丰巢谈判。目前在业委会参与者交流平台众蚁社区上参与“对丰巢说不”的小区已近50家。“入场时，丰巢业务员均表示过不会向小区业主收费，如今未经协商，单方面要求收取费用的行为不合理，缺乏对小区用户的尊重。”“即便是收费，还涉及到与用户的告知与协商，而目前的操作涉嫌
0, 
0,@中国警方在线 【#司机为救婴儿连闯红灯家属拒绝作证# 】#平安法治2020#广东东莞的网约车司机艾先生近日接到一张订单，乘客为一家三口带着一个婴儿，上车不久婴儿突发疾病失去知觉。艾先生连闯三个红灯将孩子送医，为此，他要面临被扣18分，并处以600元的罚款。交警表示需提供相关的医院证明，但婴儿家属却拒绝作证，称闯红灯跟他没关系。最终警方表示会通过监控视频和医院的记录来证实艾先生所说。艾先生也表示，虽然他无法理解患者家属的态度，但是并不后悔这么做。小调查：如果是你遇到这种情况，你会为司机作证吗？ http:
0,@看看新闻KNEWS 【网约车司机为救婴儿连闯三红灯 事后家属却拒绝作证】广东东莞的网约车司机艾先生近日接到一张订单，乘客为一家三口带着一个婴儿，上车不久婴儿突发疾病失去知觉。艾先生连闯三个红灯将孩子送医，为此，他要被扣18分，并处以600元的罚款。交警表示需提供相关的医院证明，但婴儿家属却拒绝作证，称闯红灯跟他没关系。艾先生说，虽然他无法理解患者家属的态度，但是并不后悔这么做。（南方卫视）http://t.cn/A6q5PbPP
0,@湖人之声 洛杉矶街头一男子因为辱骂科比而遭到群殴！#湖人总冠军##NBA吐槽大会##NBA# http://t.cn/A6b9AWXX ??
0,@蜀黍家 笑死我了，腾讯官方：我就是个憨憨[允悲]，别人买到假辣椒酱亏8块，我亏1600万？#3人伪造老干妈印章与腾讯签合同# #腾讯中午的辣椒酱突然不香了#  http://t.cn/A6yh1VEW ??
0,@微博综艺 #冲浪吧姐姐# #乘风破浪的姐姐成团名单#[给你小心心]宁静获得3242082票，第一成团出道。[给你小心心]万茜获得2861152票，第二成团出道。 [给你小心心]孟佳获得2562282票，第三成团出道。 [给你小心心]李斯丹妮获得2363975票，第四成团出道。 [给你小心心]张雨绮获得2233799票，第五成团出道。 [给你小心心]郁可唯获得2121028票，第六成团出道。[给你小心心]黄龄获得2024793票，第七成团出道。 #乘风破浪的姐姐团名无价之姐#  恭喜这个夏天的无价之姐们！
0,@天猫发言人 4982亿！感谢大家的参与。关?转，揪1人，你今年双11的所有订单，我买单！上限49999元！#天猫双十一成交总额4982亿# ??
0,@张含韵·幸韵补给站 #张含韵[超话]#? #张含韵 不成团也是乘风破浪的姐# 【乘风破浪的姐姐成团之夜 张含韵舞台cut】“我是31岁的张含韵。16年前我被命运所选择，懵懵懂懂的跌进了这个行业；16年后的今天，我选择自己的命运，勇敢笃定，竭尽所能，不辜负这个最美好的夏天。”[心]你才是这个夏天最美好的遇见[心]@张含韵 http://t.cn/A64JTbEg
1, 
1,@中国大学生在线 #教育头条#【第二届全国文明校园名单】全国精神文明建设表彰大会20日在京举行。中共中央总书记、国家主席、中央军委主席习近平亲切会见参加大会的新一届全国文明城市、文明村镇、文明单位、文明家庭、文明校园以及未成年人思想道德建设工作先进代表，向他们表示诚挚问候和热烈祝贺。祝贺@北京理工大学 等641所学校被授予全国文明校园称号。#我和祖国共成长#  http://t.cn/A6GTvdrR
0,@红星新闻 #警方取消救婴儿闯红灯司机处罚#【司机为救婴儿连闯红灯，事后家属拒作证，警方取消处罚】广东东莞的网约车司机艾先生近日接到一张订单，乘客为一家三口带着一个婴儿，上车不久婴儿突发疾病失去知觉。艾先生连闯三个红灯将孩子送医，为此，他要面临被扣18分，并处以600元的罚款。交警表示需提供相关的医院证明，但婴儿家属却拒绝作证，称闯红灯跟他没关系。警方表示会通过监控视频和医院的记录来证实艾先生所说。艾先生也表示，虽然他无法理解患者家属的态度，但是并不后悔这么做。刚刚，公安部新闻中心官方微博@中国警方在线 
1,@TFBOYS-王俊凯 #英雄联盟9周年#因为热爱，所以联盟！未来，和所有召唤师，战在一起！（回来复盘了一下，操作问题不大，就是狠话没放好，早知道就邀首歌）@英雄联盟 ??
0,@红星新闻 【#司机为救婴儿连闯红灯家属拒绝作证# 】广东东莞的网约车司机艾先生近日接到一张订单，乘客为一家三口带着一个婴儿，上车不久婴儿突发疾病失去知觉。艾先生连闯三个红灯将孩子送医，为此，他要被扣18分，并处以600元的罚款。交警表示需提供相关的医院证明，但婴儿家属却拒绝作证，称闯红灯跟他没关系。艾先生说，虽然他无法理解患者家属的态度，但是并不后悔这么做。（南方卫视）http://t.cn/A6q5PbPP
0,@剧综宝典 #乘风破浪的姐姐成团之夜#  朱正廷、范丞丞、黄明昊、丁泽仁、毕雯珺、黄新淳、李权哲《blah-blah》 一场炸裂的视觉盛宴！！ http://t.cn/A64fJUuq ??
1,@乘风破浪的姐姐 Can you feel “姐姐” tonight！@阿云嘎Musical?一起唱音乐剧吗？开口跪的那种！?#乘风破浪的姐姐#成团之夜http://t.cn/A64t9AtX  20:00湖南娱乐频道&芒果TV现场同步直播！ ??
1, 
1, 
0,@人物 【张雨绮：过河入林】《人物》八月刊封面，我们选择了@张雨绮。关于张雨绮的人生命题，是一只危险动物，踏入娱乐圈的丛林，遇到障碍，不被规训，依然能活出自我的故事。她不愿隐藏跌宕起伏的私人生活，不愿屈从于行业规则——做一个稳定、安全、可控的艺人。这种不屈最初给她带来了无穷无尽的麻烦 ，但把时间拉久一点，现在看来，她身上旺盛的生命力，是她在#乘风破浪的姐姐#的舞台上最吸引人的特质。#乘风破浪的姐姐成团之夜#  http://t.cn/A64VSRJX
0,@李现ing 恭喜！[鼓掌]#湖人总冠军# ??
0,@速回收 腾讯鹅子今天中午的辣椒酱不香了！员工送1000瓶老干妈征集线索！咱速回收同是深圳南山的公司！@腾讯公司 支持大厂征集线索，希望天下无假章！#3人伪造老干妈印章与腾讯签合同##腾讯千瓶老干妈求骗子线索# 转发?关注@速回收 送出1000瓶老干妈！7月7号开！ @微博抽奖平台 @_曾小东 冲啊啊啊！ ? http://t.cn/A6y74eOs
1, 
1, 
1, 
0,@天猫发言人 4982亿！感谢大家的参与。关?转，揪1人，你今年双11的所有订单，我买单！上限49999元！#天猫双十一成交总额4982亿# ??
0,@时代少年团-刘耀文 #湖人总冠军#老詹永远滴神！！！湖人总冠军??#爱豆V力量#?#拍一张名叫快乐的照片# ??
1, 
0,@嗑瓜子每日专用 #3人伪造老干妈印章与腾讯签合同#腾讯告老干妈的时间线梳理，可以入选年度沙雕新闻吗[允悲]时间线：1、6月29日，广东深圳市南山区人民法院发布一则民事裁定书显示，腾讯请求查封冻结贵州老干妈公司名下价值1624.06万元的财产，老干妈咋和鹅打起来了...2、6月30日，腾讯回应称系因老干妈拖欠千万元广告费，腾讯多次催促对方付款却分文未获，遂起诉老干妈。天眼查称涉及的广告是老干妈投放在qq飞车的广告...3、6月30日下午，凤凰周刊称老干妈公司相关负责人回应第一财经记者表示，并没有与腾讯有任
0,@球爹Big-Baller 抽奖啦！转发+点赞这条微博，抽3个人获得以下卫衣！（此卫衣是我自己设计的。因为没有经历过OK时代，所以以嫂子和唠嗑的时代，到詹眉时代为背景。大面为老詹抱着浓眉，浓眉抱着奖杯夺冠图。）谢谢大家！[握手] 1.如果中奖了，大家买了，直接免单！谢谢 ??
0, 
0,@凤凰网财经 今晚#315晚会# 总结：1. 山东即墨：养殖海参整箱投放敌敌畏；2. 汉堡王：用过期面包做汉堡，随意篡改保质期；3. 河北高阳：旧袜子旧内裤造毛巾；4. 宝骏汽车：变速箱频繁故障投诉无门；5. 广州万科尚城、杭州春秋华庭：精装房变水帘洞，被强制收房；6. 可诺丹婷美容院：偷听客户讲话，配合美容师演戏推销办卡；7. 趣头条：虚假、违法违规广告；8. 嗨学网：交钱容易退钱难；9. 国美易卡、遥控器、最强手电、全能遥控器、91极速购、天天回收、闪到、萝卜商城、紫金普惠等50多款手机APP：收集上
1,@TFBOYS-王俊凯 #英雄联盟9周年#因为热爱，所以联盟！未来，和所有召唤师，战在一起！（回来复盘了一下，操作问题不大，就是狠话没放好，早知道就邀首歌）@英雄联盟 ??
0,@北京汽车 #乘风破浪的姐姐成团之夜# 随着7位姐姐的成团出道，#乘风破浪的姐姐#落下帷幕。姐姐们努力又上进的样子无疑是这个夏天最励志的身影。突破自己追寻梦想，把不可能化作无限可能，这便是乘风破浪的精彩。然而，一切过往 ，皆为序章。新的“JING”彩已找到瞩目舞台，成团出道欲向远方出发。 ??
1,@TFBOYS-王俊凯 #英雄联盟9周年#因为热爱，所以联盟！未来，和所有召唤师，战在一起！（回来复盘了一下，操作问题不大，就是狠话没放好，早知道就邀首歌）@英雄联盟 ??
0,@红星新闻 【#司机为救婴儿连闯红灯家属拒绝作证# 】广东东莞的网约车司机艾先生近日接到一张订单，乘客为一家三口带着一个婴儿，上车不久婴儿突发疾病失去知觉。艾先生连闯三个红灯将孩子送医，为此，他要被扣18分，并处以600元的罚款。交警表示需提供相关的医院证明，但婴儿家属却拒绝作证，称闯红灯跟他没关系。艾先生说，虽然他无法理解患者家属的态度，但是并不后悔这么做。（南方卫视）http://t.cn/A6q5PbPP
0,@中国青年网 【一份快递收两份钱，丰巢这么干合适吗？】多个与丰巢发生纠纷的小区都表示：丰巢当年来小区推广产品时，口头承诺过不对用户收费，基于“半公益”性质，小区才决定把公共空间租借给丰巢。如今丰巢占据小区“黄金地段”，却突然决定收费，这是不少小区业主对丰巢不满的原因。#多个小区丰巢遭业主封巢#http://t.cn/A6AmtwIj
